2024年度秋セメスター　時間割 (2017カリキュラムAPS生対象科目),,,,,,,,,,,,,,
AY2024 Fall Semester Timetable (For 2017 APS Curriculum students),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"-Online講義は、D列に「〇」が記載されています。講義名の先頭に開講形態(Online)が記載されています。何も記載がない場合には原則対面講義となります。
-「配当セメ」の数字はその科目を受講することができるセメスターを示しています。（例）「3」と記載されている場合には、3セメスター生以上の学生が履修することができます。
-各科目の履修要件（単位数・前提科目・履修制限・単位集計分野、登録可能な期間等）については、科目一覧表をご確認ください（アカデミック・オフィスHP＞第8～10章＞カリキュラム図・科目一覧）。

-For Online Lectures, ""〇"" is marked in column D. Forms of class implementation (Online) are included as part of the 'Subject Name' . If there is no specification, it means that the class is offered on-campus.
Semester,火/Tue.,2,,,FⅡ223,010300OA,スペイン語Ⅱ OA,Spanish II OA,MOLINA Noemi,MOLINA RODRIGUEZ Noemi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,FⅡ225,010310OA,スペイン語Ⅲ OA,Spanish III OA,VILA LOPEZ Eduardo,VILA LOPEZ Eduardo,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,FⅡ228,010320OB,タイ語Ⅰ OB,Thai I OB,PHANKHIAN Areeluck,PHANKHIAN Areeluck,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,FⅡ229,010340OA,タイ語Ⅲ OA,Thai III OA,LIMTHANANUNTHA P.,LIMTHANANUNTHA Phenssinee,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,FⅡ326,010360OA,ベトナム語Ⅱ OA,Vietnamese II OA,NGUYEN Ha Thi Thanh,NGUYEN Ha Thi Thanh,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,D208,011100EA,英語初級A EA,Elementary English A EA,PIGNOLET Lucas,PIGNOLET Lucas,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 10,011105EA,英語中級B EA,Intermediate English B EA,HU Cindy Hsin Yu,HU Cindy Hsin Yu,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 2,011105EB,英語中級B EB,Intermediate English B EB,BEUCKENS Roger Todd,BEUCKENS Roger Todd,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 3,011105EC,英語中級B EC,Intermediate English B EC,SCHWEHR Owen Richard,SCHWEHR Owen Richard,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 9,011105ED,英語中級B ED,Intermediate English B ED,PIKE Luke Richard,PIKE Luke Richard,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 4,011105EE,英語中級B EE,Intermediate English B EE,サンダーズ 美里,SAUNDERS Misato,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 5,011105EF,英語中級B EF,Intermediate English B EF,衛藤 智子,ETO Tomoko,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 6,011105EG,英語中級B EG,Intermediate English B EG,ベルガー 舞子,BERGER Maiko,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 7,011105EH,英語中級B EH,Intermediate English B EH,SAUNDERS Matt,SAUNDERS Matt,,1,言語/Language,英語English
Semester,火/Tue.,2,,,CAI 8,011105EI,英語中級B EI,Intermediate English B EI,FORTUNA Roniel,FORTUNA Roniel Sanchez,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D206,011106EA,英語準上級A EA,Upper Intermediate English A EA,JOHNSTON Patrick J,JOHNSTON Patrick J,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D210,011106EB,英語準上級A EB,Upper Intermediate English A EB,MEDLEY Nicholas,MEDLEY Nicholas,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D205,011106EC,英語準上級A EC,Upper Intermediate English A EC,JAI Rheumi Rhubi,JAI Rheumi Rhubi,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D304,011106ED,英語準上級A ED,Upper Intermediate English A ED,PRIEST William,PRIEST William,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D302,011106EE,英語準上級A EE,Upper Intermediate English A EE,ARMSTRONG Luke,ARMSTRONG Luke,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D214,011106EF,英語準上級A EF,Upper Intermediate English A EF,GIACOMELLI Joely,GIACOMELLI Joely,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D305,011106EG,英語準上級A EG,Upper Intermediate English A EG,YIP Jordan,YIP Jordan,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D203,011106EH,英語準上級A EH,Upper Intermediate English A EH,GEDARRO Randy Yoshio,GEDARRO Randy Yoshio,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D101,011106EI,英語準上級A EI,Upper Intermediate English A EI,シュエアー 華子,SCHWEHR Hanako,,1,言語/Language,英語English
Semester,火/Tue.,2,,,D105,011200EA,英語上級1A EA,Advanced English 1A EA,SEVIGNY Paul,SEVIGNY Paul,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,FⅡ224,011202EA,英語上級2A EA,Advanced English 2A EA,STILP Lance Joseph,STILP Lance Joseph,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,D202,011202EB,英語上級2A EB,Advanced English 2A EB,PADFIELD Sarah,PADFIELD Sarah Catherine,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,F109,01700501,日本語・日本社会 01,Language and Social Topics in Japan 01,寺嶋 弘道,TERAJIMA Hiromichi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,D107,017013CA,英語検定試験対策講座Ⅰ CA,English Proficiency Test Preparation Course I CA,GRANT Collette S.,GRANT Collette Sharlene,,3,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,D207,017016CC,メディアのなかの英語 CC,English of the Media CC,MCGRATH Darby,MCGRATH Darby,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,D108,017018EA,TESOL EA,TESOL EA,BLACKWELL James,BLACKWELL James,,3,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,2,,,IPS 4,020092JB,インターネット技術統合JB,Internet Technology IntegrationJB,NISHANTHA Giguruwa,NISHANTHA Giguruwa,J,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,F202,020241JB,日本の経済JB,Japanese EconomyJB,平田 純一,HIRATA JUNICHI,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,J101,021130EC,キャリア・デザインⅠEC,Career Design IEC,ROUX Petrus Willem,ROUX Petrus Willem,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,J202,027003ED,統計学ED,StatisticsED,RUIZ-NAVAS Santiago,RUIZ-NAVAS Santiago,E,2,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,IPS 3,027003JF,統計学JF,StatisticsJF,中本 裕哉,NAKAMOTO Yuya,J,2,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,J105,027006JB,海外学習デザインJB,Overseas Learning DesignJB,カッティング 美紀,CUTTING Miki,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,F106,027018JB,法学JB,Legal StudiesJB,青野 篤,AONO Atsushi,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,IPS 2,027028EB,特殊講義（ICT）EB,Special Lecture (ICT)EB,ROSE John A.,ROSE John A.,E,5,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,HPS,027029EN,茶道EN,Japanese Art of Tea CeremonyEN,宗泰 ポンパン,SOTAI Pongpan,E,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,2,,,J204,030564ED,基礎数学ED,Fundamental MathematicsED,LANGLEY Raymond,LANGLEY Raymond,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,2,,,J102,030564JH,基礎数学JH,Fundamental MathematicsJH,徳丸 一彦,TOKUMARU Kazuhiko,J,3,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,2,,,SPR 4,03207028,専門演習Ⅱ 28,Major Seminar II 28,田原 洋樹,TAHARA Hiroki,J,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,2,,,SPR 3,03207081,専門演習Ⅱ 81,Major Seminar II 81,宮部 峻,MIYABE Takashi,J,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,2,,,SPR 7,03307007,専門演習Ⅱ 07,Major Seminar II 07,藤本 武士,FUJIMOTO Takeshi,E/J,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,2,,,SPR 2,03307023,専門演習Ⅱ 23,Major Seminar II 23,大竹 敏次,OTAKE Toshitsugu,E/J,5-6,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,2,,,F101,030193EA,国際紛争解決EA,International Conflict ResolutionEA,HEO Seunghoon Emilia,HEO Seunghoon Emilia,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)
1Q,火/Tue.,2,,,H201,030674JA,マクロ経済学JA,MacroeconomicsJA,大塚 宏蔵,OTSUKA KOZO,J,3,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,2,,,F201,030701JB,財務会計論ⅠJB,Financial AccountingIJB,小澤 朋之,OZAWA Tomoyuki,J,3,他学部/Other College,他学部科目Other College Subjects
1Q,火/Tue.,2,,,FⅡ120,037120EA,人文学と近代EA,The Humanities and ModernityEA,ASKEW 里枝,ASKEW Rie,E,3,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q,火/Tue.,2,,,F204,037123JA,文化・社会・メディア　特殊講義JA,"Special Lecture in Culture, Society and MediaJA",金 賛會,KIM Chan Hoe,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q,火/Tue.,2,,,FⅡ121,037133EA,資源マネジメントEA,Resource ManagementEA,韓 驥,HAN Ji,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
1Q,火/Tue.,2,,,F104,037138EA,リゾート開発EA,Resort DevelopmentEA,橋本 俊作,HASHIMOTO Shunsaku,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
2Q,火/Tue.,2,,,F210,020023EC,国際関係論入門EC,Introduction to International RelationsEC,HEO Seunghoon Emilia,HEO Seunghoon Emilia,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts SubjectorIRP必修共通教養科目(*3)IRP Required Common Liberal Arts Subject(*3)
2Q,火/Tue.,2,,,F103,030550EF,特殊講義（専門教育科目）EF,Special Lecture(Asia Pacific Studies)EF,ASKEW David J.,ASKEW David J.,E,3,専門/Major,APS専門教育科目APS Major Education Subjects 
2Q,火/Tue.,2,,,F201,030702JA,財務会計論ⅡJA,Financial AccountingIIJA,小澤 朋之,OZAWA Tomoyuki,J,3,他学部/Other College,他学部科目Other College Subjects
2Q,火/Tue.,2,,,F104,030717EB,投資・証券分析EB,Investment and Securities AnalysisEB,渡邉 正太郎,WATANABE Shotaro,E,5,他学部/Other College,他学部科目Other College Subjects
2Q,火/Tue.,2,,,F203,032080JB,開発経済学JB,Development EconomicsJB,中神 正史,NAKAGAMI Masafumi,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
2Q,火/Tue.,2,,,F204,037148JE,地域研究JE,Area StudiesJE,金 賛會,KIM Chan Hoe,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
2Q,火/Tue.,2,,,J203,037208EB,ビジネスケース分析・コミュニケーションEB,Business Case Analysis & CommunicationEB,YANG Xiaoling,YANG Xiaoling,E,5,他学部/Other College,他学部科目Other College Subjects
2Q,火/Tue.,2,,,FⅡ120,037301EA,組織行動論（上級）EA,Advanced Organizational BehaviorEA,HAIDAR Ali,HAIDAR Ali,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester,火/Tue.,3,,,F304,010091DA,日本語初級Ⅱ DA,Japanese Foundation Course II DA,布尾 勝一郎,NUNOO Katsuichiro,,1,言語/Language,-
Semester,火/Tue.,3,,,F207,010091DB,日本語初級Ⅱ DB,Japanese Foundation Course II DB,寺井 敦子,TERAI Atsuko,,1,言語/Language,-
Semester,火/Tue.,3,,,F211,010091DC,日本語初級Ⅱ DC,Japanese Foundation Course II DC,バナ 登美子,BONNAH Tomiko,,1,言語/Language,-
Semester,火/Tue.,3,,,D202,010091DD,日本語初級Ⅱ DD,Japanese Foundation Course II DD,米 冰寒,MI Binghan,,1,言語/Language,-
Semester,火/Tue.,3,,,F206,010091DE,日本語初級Ⅱ DE,Japanese Foundation Course II DE,山田 祐也,YAMADA YUYA,,1,言語/Language,-
Semester,火/Tue.,3,,,D101,010091DF,日本語初級Ⅱ DF,Japanese Foundation Course II DF,後藤 美智子,GOTO Michiko,,1,言語/Language,-
Semester,火/Tue.,3,,,D213,010091DG,日本語初級Ⅱ DG,Japanese Foundation Course II DG,大内 由紀,OUCHI Yuki,,1,言語/Language,-
Semester,火/Tue.,3,,,D201,010101DA,日本語中級 DA,Japanese Intermediate Course DA,板橋 民子,ITABASHI Tamiko,,1,言語/Language,-
Semester,火/Tue.,3,,,F205,010101DB,日本語中級 DB,Japanese Intermediate Course DB,寺本 真悠子,TERAMOTO Mayuko,,1,言語/Language,-
Semester,火/Tue.,3,,,D109,010101DC,日本語中級 DC,Japanese Intermediate Course DC,板井 芳江,ITAI Yoshie,,1,言語/Language,-
Semester,火/Tue.,3,,,D111,010101DD,日本語中級 DD,Japanese Intermediate Course DD,深山 道助,MIYAMA MICHISUKE,,1,言語/Language,-
Semester,火/Tue.,3,,,F212,010101DE,日本語中級 DE,Japanese Intermediate Course DE,小野田 千絵,ONODA Chie,,1,言語/Language,-
Semester,火/Tue.,3,,,F108,010101DF,日本語中級 DF,Japanese Intermediate Course DF,星野 智子,HOSHINO Tomoko,,1,言語/Language,-
Semester,火/Tue.,3,,,F213,010101DG,日本語中級 DG,Japanese Intermediate Course DG,多田 利恵,TADA Rie,,1,言語/Language,-
Semester,火/Tue.,3,,,F303,010101DH,日本語中級 DH,Japanese Intermediate Course DH,津田 真理子,TSUDA Mariko,,1,言語/Language,-
Semester,火/Tue.,3,,,F302,010101DI,日本語中級 DI,Japanese Intermediate Course DI,大池 森,OIKE SHIN,,1,言語/Language,-
Semester,火/Tue.,3,,,F214,010101DJ,日本語中級 DJ,Japanese Intermediate Course DJ,佐々木 美江,SASAKI Mie,,1,言語/Language,-
Semester,火/Tue.,3,,,F208,010101DK,日本語中級 DK,Japanese Intermediate Course DK,伊達 久美子,DATE Kumiko,,1,言語/Language,-
Semester,火/Tue.,3,,,D303,010102DA,日本語中上級 DA,Pre-Advanced Japanese DA,渡辺 若菜,WATANABE Wakana,,1,言語/Language,-
Semester,火/Tue.,3,,,J308,010102DB,日本語中上級 DB,Pre-Advanced Japanese DB,大原 哲史,OHARA Tetsushi,,1,言語/Language,-
Semester,火/Tue.,3,,,FⅡ124,010102DC,日本語中上級 DC,Pre-Advanced Japanese DC,水戸 貴久,MITO Takahisa,,1,言語/Language,-
Semester,火/Tue.,3,,,D212,010103DA,日本語上級 DA,Advanced Japanese DA,井上 佳子,INOUE Yoshiko,,1,言語/Language,-
Semester,火/Tue.,3,,,FⅡ322,010180OB,中国語Ⅰ OB,Chinese I OB,HUNG Yu-Ting,HUNG Yu-Ting,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ324,010180OE,中国語Ⅰ OE,Chinese I OE,河原畑 希久,KAWARABATA Kiku,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ320,010190OC,中国語Ⅱ OC,Chinese II OC,李 娜,LI Na,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ325,010200OA,中国語Ⅲ OA,Chinese III OA,羅 華,LUO Hua,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ234,010220OD,韓国語Ⅰ OD,Korean I OD,李 ソヨン,LEE Soyeong,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ233,010220OI,韓国語Ⅰ OI,Korean I OI,朴 映勳,PARK YoungHoon,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ231,010230OA,韓国語Ⅱ OA,Korean II OA,OH Young Min,OH Young Min,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ230,010240OB,韓国語Ⅲ OB,Korean III OB,CHO Heejin,CHO Heejin,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ330,010260OC,マレー語･インドネシア語Ⅰ OC,Malay/Indonesian I OC,SAPUTRO Ghozali,SAPUTRO Ghozali,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ331,010260OD,マレー語･インドネシア語Ⅰ OD,Malay/Indonesian I OD,藤崎 拓海,FUJISAKI Takumi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ328,010270OA,マレー語･インドネシア語Ⅱ OA,Malay/Indonesian II OA,SRI Budi Lestari,SRI Budi Lestari,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ226,010290OB,スペイン語Ⅰ OB,Spanish I OB,福川 美沙,FUKUKAWA Misa,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ223,010290OD,スペイン語Ⅰ OD,Spanish I OD,GIMENEZ M. Carolina,GIMENEZ MILAN Carolina,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ229,010320OA,タイ語Ⅰ OA,Thai I OA,LIMTHANANUNTHA P.,LIMTHANANUNTHA Phenssinee,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ228,010330OA,タイ語Ⅱ OA,Thai II OA,PHANKHIAN Areeluck,PHANKHIAN Areeluck,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ327,010350OB,ベトナム語Ⅰ OB,Vietnamese I OB,NGUYEN Hoang Minh,NGUYEN Hoang Minh,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,FⅡ326,010350OC,ベトナム語Ⅰ OC,Vietnamese I OC,NGUYEN Ha Thi Thanh,NGUYEN Ha Thi Thanh,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,D208,011100EB,英語初級A EB,Elementary English A EB,PIGNOLET Lucas,PIGNOLET Lucas,,1,言語/Language,英語English
Semester,火/Tue.,3,,,FⅡ123,011102EI,英語準中級A EI,Pre-Intermediate English A EI,LARKING Malcolm,LARKING Malcolm,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D107,011102EJ,英語準中級A EJ,Pre-Intermediate English A EJ,CROWLEY Kevin,CROWLEY Kevin,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D105,011102EK,英語準中級A EK,Pre-Intermediate English A EK,斉藤 沙綾香,SAITO Sayaka,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D108,011102EL,英語準中級A EL,Pre-Intermediate English A EL,廣松 大和,HIROMATSU Yamato,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D104,011102EM,英語準中級A EM,Pre-Intermediate English A EM,WALLER Roland C.,WALLER Roland C.,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D103,011102EN,英語準中級A EN,Pre-Intermediate English A EN,SILVA Matthew Shawn,SILVA Matthew Shawn,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D301,011102EO,英語準中級A EO,Pre-Intermediate English A EO,APPLE Derrick,APPLE Derrick Alan,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D102,011102EP,英語準中級A EP,Pre-Intermediate English A EP,MARZONA Nikki,MARZONA Nikki,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D305,011106EJ,英語準上級A EJ,Upper Intermediate English A EJ,YIP Jordan,YIP Jordan,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D204,011106EK,英語準上級A EK,Upper Intermediate English A EK,HERRERA Girlie Ann,HERRERA Girlie Ann R.,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D205,011106EL,英語準上級A EL,Upper Intermediate English A EL,JAI Rheumi Rhubi,JAI Rheumi Rhubi,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D304,011106EM,英語準上級A EM,Upper Intermediate English A EM,PRIEST William,PRIEST William,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D302,011106EN,英語準上級A EN,Upper Intermediate English A EN,ARMSTRONG Luke,ARMSTRONG Luke,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D214,011106EO,英語準上級A EO,Upper Intermediate English A EO,GIACOMELLI Joely,GIACOMELLI Joely,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D207,011106EP,英語準上級A EP,Upper Intermediate English A EP,MCGRATH Darby,MCGRATH Darby,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D203,011106EQ,英語準上級A EQ,Upper Intermediate English A EQ,GEDARRO Randy Yoshio,GEDARRO Randy Yoshio,,1,言語/Language,英語English
Semester,火/Tue.,3,,,D206,011106ER,英語準上級A ER,Upper Intermediate English A ER,JOHNSTON Patrick J,JOHNSTON Patrick J,,1,言語/Language,英語English
Semester,火/Tue.,3,,,FⅡ224,011106ES,英語準上級A ES,Upper Intermediate English A ES,STILP Lance Joseph,STILP Lance Joseph,,1,言語/Language,英語English
Semester,火/Tue.,3,,,F109,01150001,講義の日本語 01,Japanese for Lectures 01,寺嶋 弘道,TERAJIMA Hiromichi,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,D106,01700101,キャリア日本語 01,Career Japanese 01,伊藤 俊也,ITO Toshinari,,5,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,火/Tue.,3,,,J102,021005JB,異文化間コミュニケーション入門JB,Introduction to Intercultural CommunicationJB,筆内 美砂,FUDEUCHI MISA,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,3,,,J101,021130EB,キャリア・デザインⅠEB,Career Design IEB,ROUX Petrus Willem,ROUX Petrus Willem,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,3,,,HPS,027029EO,茶道EO,Japanese Art of Tea CeremonyEO,宗泰 ポンパン,SOTAI Pongpan,E,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,火/Tue.,3,,,J204,030564EE,基礎数学EE,Fundamental MathematicsEE,LANGLEY Raymond,LANGLEY Raymond,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,3,,,IPS 3,031080JB,特殊講義（専門教育科目）JB,Special Lecture(Management)JB,高妻 倫太郎,KOZUMA Rintaro,J,3,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,3,,,J303,03207084,専門演習Ⅱ 84,Major Seminar II 84,眞田 貴絵,SANADA Kie,E,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,3,,,F112,03307043,専門演習Ⅱ 43,Major Seminar II 43,藤井 誠一,FUJII Seiichi,E/J,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,3,,,SPR 2,03307062,専門演習Ⅱ 62,Major Seminar II 62,YANG Jeongwoo,YANG Jeongwoo,J,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,3,,,SPR 5,03307077,専門演習Ⅱ 77,Major Seminar II 77,KIM Young Sun,KIM Young Sun,E,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,3,,,J302,03307080,専門演習Ⅱ 80,Major Seminar II 80,HOOI Carol Lai-Wan,HOOI Carol Lai-Wan,E,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,3,,,J301,03307081,専門演習Ⅱ 81,Major Seminar II 81,牧野 恵美,MAKINO Emi,E,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,火/Tue.,3,,,J203,037130JA,基礎演習（環境・開発）JA,Preliminary Seminar for Environment and DevelopmentJA,松尾 雄司,MATSUO Yuji,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
Semester,火/Tue.,3,,,J202,037149EB,調査研究入門EB,Introduction to Research MethodsEB,ROTHMAN Steven B.,ROTHMAN Steven B.,E,3-4,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,火/Tue.,3,,,SPR 3,03715581,卒業研究I 81,Graduation Research I81,宮部 峻,MIYABE Takashi,J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
